team_name,season_year,sos_adj_factor,sos_z
Navy,2022,0.0,-0.9693696120743094
UNC Asheville,2022,0.0,-0.9078167293552124
Pittsburgh,2022,0.15528928302812772,1.5528928302812772
Marquette,2022,0.16793265131525892,1.6793265131525892
Houston Christian,2022,0.0,-1.548899360353327
Grand Canyon,2022,0.0,-0.44226273409991174
Wofford,2022,0.0,-0.041074776816374337
Penn,2022,0.02582810797678209,0.2582810797678209
Florida Atlantic,2022,0.0,-0.5131113785479529
Valparaiso,2022,0.007591796678677022,0.07591796678677022
Jacksonville State,2022,0.0,-0.6859716403144728
Stephen F. Austin,2022,0.0,-0.4666093032615289
Washington State,2022,0.11218654937000193,1.1218654937000192
Saint John`s,2022,0.11803593567714091,1.180359356771409
UC San Diego,2022,0.0,-0.8180816306041819
Idaho,2022,0.0,-0.9037374042513399
Rider,2022,0.0,-0.5107506644099611
South Florida,2022,0.09741529631253068,0.9741529631253067
Xavier,2022,0.157485963827803,1.57485963827803
Merrimack,2022,0.0,-1.1320166346260563
George Mason,2022,0.05264443749512209,0.5264443749512209
Washington,2022,0.11722615890713427,1.1722615890713426
Mississippi Valley State,2022,0.0,-0.8998784517589927
Richmond,2022,0.10838402500282707,1.0838402500282707
Louisville,2022,0.15315585601319456,1.5315585601319455
Southeastern Louisiana,2022,0.0,-1.1624159846680777
North Carolina,2022,0.17493150781664638,1.7493150781664637
Robert Morris,2022,0.0,-0.7870074494491481
Georgia State,2022,0.0,-0.3387372664187624
North Dakota,2022,0.0,-0.9630097787293127
Louisiana Tech,2022,0.0,-0.21064091016319555
Fort Wayne,2022,0.0,-1.1381619297843026
Mississippi,2022,0.1358821356259817,1.358821356259817
Charlotte,2022,0.00041530849192345545,0.004153084919234554
Maryland,2022,0.1750269854380208,1.750269854380208
Denver,2022,0.0,-0.9177199147165978
Binghamton,2022,0.0,-1.0993195373716949
NJIT,2022,0.0,-1.0151485243299507
Texas,2022,0.1558306492960057,1.558306492960057
Citadel,2022,0.0,-0.26344610432537646
Sacred Heart,2022,0.0,-1.4199581264646892
Tarleton State,2022,0.0,-0.23699826699406723
Oral Roberts,2022,0.0,-0.8290844244002192
Longwood,2022,0.0,-1.2197871686372175
Western Carolina,2022,0.005763260033761517,0.057632600337615164
Albany,2022,0.0,-0.8345688037612554
Iowa State,2022,0.1654063601847049,1.654063601847049
Southern Illinois,2022,0.014527316978060215,0.14527316978060215
Grambling,2022,0.0,-0.8139836579218526
Georgetown,2022,0.1518858968772256,1.5188589687722558
Troy,2022,0.0,-0.5539547935902739
Lehigh,2022,0.0,-1.216891749957596
Loyola Chicago,2022,0.05775986759363713,0.5775986759363713
Austin Peay,2022,0.0,-0.3698712445609982
Central Connecticut,2022,0.0,-0.9429274023613733
Villanova,2022,0.19236120945217564,1.9236120945217563
Alabama,2022,0.2,2.1264405092981082
Saint Joseph`s,2022,0.050259585553401515,0.5025958555340151
Utah Tech,2022,0.0,-0.32683834950466595
Bethune-Cookman,2022,0.0,-1.0700772660488649
North Alabama,2022,0.0,-0.7052673382576038
Saint Louis,2022,0.06791206671596439,0.6791206671596439
Quinnipiac,2022,0.0,-0.6820836504629493
Air Force,2022,0.04757359459360713,0.47573594593607127
East Carolina,2022,0.05873518515253156,0.5873518515253155
Georgia,2022,0.1512612343559373,1.5126123435593728
William & Mary,2022,0.0,-0.04607819074952785
Vermont,2022,0.0,-1.044873689250694
Butler,2022,0.14242529238023643,1.4242529238023642
Eastern Illinois,2022,0.0,-0.5847431568305717
Lipscomb,2022,0.0,-0.5256865927963774
Tennessee-Martin,2022,0.0,-0.35396579217879437
